"occurrenceID"	"LUP"	"altibelt"	"dem"	"geometry"
"a1a2ad0e-2d48-4be2-a85b-5a448bfa7933"	4	1	17	55.44515|-4.67376
"9b49742c-4dc0-494a-abf2-ee0c6675c077"	3	1	72	55.71875|-4.32406
"ec2bc30f-e201-434f-8d43-6d3551865fa2"	4	1	17	55.44515|-4.67376
"66802ff2-07a6-46d0-90e6-9e32dcee3b97"	4	1	17	55.44515|-4.67376
"cb3ae623-ef5b-4b20-9d0d-cd4598ddfc43"	3	1	72	55.71875|-4.32406
"94d3f425-4866-47e7-a883-a17b73e5a07b"	4	1	17	55.44515|-4.67376
"9b811d2e-6494-49da-8a61-b387f73a6848"	4	1	17	55.44515|-4.67376
"2a6572e4-e10d-4069-9acd-6b286f491ce9"	4	1	17	55.44515|-4.67376
"e90178e0-b025-48e8-b7f6-5e2393d75f62"	3	1	72	55.71875|-4.32406
"3a44e982-07b5-4987-8e61-0617e807b67e"	4	1	17	55.44515|-4.67376
"f9357d02-77e3-4d63-a86a-cd2968dbf912"	2	2	391	55.40892|-4.63597
"a21318c6-6be9-4ea9-943b-036f307b3204"	2	2	391	55.40892|-4.63597
"2d34fffc-0293-47dd-9a62-6a3a2d84a7e7"	2	2	391	55.40892|-4.63597
"10ff64ef-6cbe-4057-8067-92079e66059c"	2	2	391	55.40892|-4.63597
"61aa8b1a-5352-4c73-85f1-0946a0c4a24b"	2	2	391	55.40892|-4.63597
"d7d94aae-edd6-4238-8a26-ea17f5e24130"	2	2	391	55.40892|-4.63597
"04c7d5b1-ef1d-431d-bf65-cc74c3a8f358"	2	2	391	55.40892|-4.63597
"80d1ccad-7621-406c-85e6-d39b1d881b07"	2	2	391	55.40892|-4.63597
"dc693f4a-6d70-4daa-9976-87f8a49d2f10"	1	3	695	55.44275|-4.63597
"117f6167-3f42-4e32-88c6-17b5e3e16049"	1	3	695	55.44275|-4.63597
"95f48b5f-f720-41cf-9d95-7cb48b43649f"	1	3	695	55.44275|-4.63597
"5b0bd369-d7a5-4944-9637-f34437ec6c9d"	1	3	695	55.44275|-4.63597
"68325257-8094-40b5-938a-7420ebae2145"	2	2	391	55.40892|-4.63597
"19c7e128-1959-4f0e-946f-f0611064485a"	2	2	391	55.40892|-4.63597
"eaff4176-3244-4870-8a52-039b1cacfc3f"	2	2	400	55.2147|-4.47652
"f1b44d33-d25d-421a-9f01-2be1febf4ccb"	2	2	391	55.40892|-4.63597
"3363db6c-20b8-47e6-b956-b70f00c5800b"	2	2	391	55.40892|-4.63597
"8cf49392-aed3-46e5-b2ca-6555ae70ee4a"	4	1	1	55.484|-4.71228
"9952b678-d5ca-4db0-b74c-09acf4340fa9"	4	1	1	55.484|-4.71228
"c6c43916-ebe3-4767-b458-6781c4b126e2"	1	1	39	55.52701|-4.73313
"c0d3292e-6588-4501-9244-7012fd1b80ac"	1	1	39	55.52701|-4.73313
"b2fc5df1-fa6f-4b05-a134-50be873f9b4e"	1	1	39	55.52701|-4.73313
"e3cc516d-b6fb-49fa-b03d-f0711cf9d619"	6	1	2	55.52365|-4.77548
"f2f75611-6773-4973-81fd-76520f5584fe"	5	1	2	55.51906|-4.76249
"054d06aa-f87f-4cfe-b727-c17aca3503f2"	6	1	2	55.52365|-4.77548
"6d5fca38-a8c8-4f5e-a28c-c134facbcebc"	6	1	2	55.52365|-4.77548
"09638848-e8a3-41cf-9294-ecae91058d9d"	1	1	39	55.52701|-4.73313
"f1f315dd-2688-4c7e-a911-9990a56462a0"	6	1	2	55.52365|-4.77548
"383cc256-fcfa-4b06-8d98-dafc7fa3d695"	1	1	39	55.52701|-4.73313
"6197c31b-ae14-4b16-87c0-0a8a2ccddc3e"	4	1	17	55.44515|-4.67376
"28feacb9-2636-472d-b80e-14ca4e8f6963"	4	1	17	55.44515|-4.67376
"876cd38c-b462-4fd4-9693-357acff04de2"	3	1	34	55.51833|-4.80649
"00c4c35d-a8ea-4a18-b772-24a753f1f3ac"	6	1	4	55.5176|-4.80259
"a1726386-89ac-4852-8901-8d519d6a3750"	3	1	34	55.51833|-4.80649
"fcc87ea8-5f9a-41ed-92c4-6ecd06e29dfb"	6	1	4	55.5176|-4.80259
"a8d39ce0-2843-419e-af55-5fd475b84f2d"	3	1	34	55.51833|-4.80649
"7dd67100-a9c8-40c0-8cf5-e23d5e83ef4a"	4	1	1	55.484|-4.71228
"2831cbfc-700e-40fc-bc83-344ad40105cf"	4	1	1	55.484|-4.71228
"0a4affb8-1c58-4c37-aac9-7fd0c189e33b"	4	1	1	55.484|-4.71228
"7c2cac45-ea80-4bd8-8681-e03d5ae00ea8"	6	1	21	55.4544|-4.63043
"e2ac1a4a-ac5c-44d6-98d4-5b15e3b21d79"	2	2	391	55.40892|-4.63597
"eb7a5d85-e222-480e-99c5-c21bef5b7f07"	2	2	391	55.40892|-4.63597
"754491be-77e6-403e-9c89-2d5b1622b70d"	2	2	391	55.40892|-4.63597
"57726467-a627-48c9-925c-f4ec76a9000a"	2	2	391	55.40892|-4.63597
"16abedef-2b41-4fc9-939e-1910654096a5"	2	2	391	55.40892|-4.63597
"adb9e7d8-0fff-4e11-b49e-12f7d0d52869"	2	2	391	55.40892|-4.63597
"6540e7b4-780e-4be4-b1be-3bbe28e4aacb"	2	2	391	55.40892|-4.63597
"f405f5cd-b53e-430b-b973-3e717716ce91"	2	2	391	55.40892|-4.63597
"f19979ac-cacf-45ae-abaf-ce9790b11e4b"	2	2	391	55.40892|-4.63597
