"taxonID"	"gbifNameUsage"	"gbifStatus"	"threatStatusGlobal"
"39387282-9136-4462-a988-55bbd43a4260"	"Kopsia fruticosa (Ker Gawl.) A.DC."	"ACCEPTED"	
"84929dc9-8a3e-44cf-99e7-52718c5763de"	"Mascarenhasia arborescens A.DC."	"ACCEPTED"	
"f6fcb040-fefa-4606-8fba-ba45a2224c33"	"Nerium oleander L."	"ACCEPTED"	
"a06f4a91-d447-44f4-8449-8e1491724304"	"Ochrosia oppositifolia (Lam.) K.Schum."	"ACCEPTED"	
"20201113182325"	"Pachypodium lamerei Drake"	"ACCEPTED"	
"1abf2dcf-640a-4f6c-b2e5-72f822b20a8c"	"Pentopetia androsaemifolia Decne."	"ACCEPTED"	
"f2860775-2a39-4d34-9c25-5dd8808236bb"	"Pleurostelma cernuum (Decne.) Bullock"	"HOMOTYPIC_SYNONYM"	
"a3bc8fe9-c1ee-4fc2-b06c-3f6fb448fe15"	"Plumeria obtusa L."	"ACCEPTED"	
"65ea7ac5-9064-452d-b2fb-09264c1c909e"	"Plumeria pudica Jacq."	"ACCEPTED"	
"eae88fb0-11ff-4ee7-a8ef-c31baedadb10"	"Plumeria rubra L."	"ACCEPTED"	
"4bf6e7a1-245f-4a70-b4da-30b4a915afee"	"Secamone pachystigma Jum. & Perrier"	"ACCEPTED"	
"bdb3549d-fceb-4cee-a3d6-87628dc18757"	"Secamone schimperiana (Hemsl.) Klack."	"ACCEPTED"	"EN"
"66a0ed77-a00d-40f6-b2cf-08f12133e132"	"Tabernaemontana coffeoides Bojer ex A.DC."	"ACCEPTED"	
"ce74bd02-4e2f-4070-aefa-7f35ebae82f8"	"Tabernaemontana divaricata (L.) R.Br. ex Roem. & Schult."	"ACCEPTED"	
"c8029477-b0f7-4a3e-835d-e51099d867f0"	"Thevetia peruviana (Pers.) K.Schum."	"SYNONYM"	
"20201116102558"	"Vincetoxicum confusum Meve & Liede"	"ACCEPTED"	
"20201116101338"	"Vincetoxicum indicum (Burm.fil.) Mabb."	"ACCEPTED"	
"20201117143937"	""	""	
"194bb074-2f46-47d1-a802-be1f0d12df78"	"Willughbeia edulis Roxb."	"ACCEPTED"	
"cd94265b-5ee3-42c8-8d3f-67d5389b1697"	"Ilex paraguariensis A.St.-Hil."	"ACCEPTED"	
"fe16efa2-33c7-48f5-9eb1-fd15ee595258"	"Astropanax procumbens (Hemsl.) Lowry, G.M.Plunkett, Gostel & Frodin"	"HOMOTYPIC_SYNONYM"	"CR"
"63cc92dc-7cb4-496b-8193-580283bcb002"	"Polyscias crassa (Hemsl.) Lowry & G.M.Plunkett"	"ACCEPTED"	"VU"
"f7eb9bf2-aa0c-43b3-8ff7-0dd6db8cf23a"	"Polyscias cumingiana (C.Presl) Fern.-Vill."	"ACCEPTED"	
"73a912b6-8371-4d4a-a338-2a0f09791835"	"Polyscias fruticosa (L.) Harms"	"ACCEPTED"	
"121d245b-694d-49ce-9f48-1fe0f1288d77"	"Polyscias guilfoylei (W.Bull) L.H.Bailey"	"ACCEPTED"	
"ae702b00-ffde-43d3-8277-0ad36688ddcf"	"Polyscias lionnetii (F.Friedmann) Lowry & G.M.Plunkett"	"ACCEPTED"	"CR"
"e820346a-5c76-42c6-a5dd-3dc7fea9c017"	"Polyscias scutellaria (Burm.f.) Fosberg"	"ACCEPTED"	
